Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 480 mean,Nucleus: Opal 480 sum,Nucleus: Opal 480 std dev,Nucleus: Opal 480 max,Nucleus: Opal 480 min,Nucleus: Opal 480 range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 540 mean,Nucleus: Opal 540 sum,Nucleus: Opal 540 std dev,Nucleus: Opal 540 max,Nucleus: Opal 540 min,Nucleus: Opal 540 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 650 mean,Nucleus: Opal 650 sum,Nucleus: Opal 650 std dev,Nucleus: Opal 650 max,Nucleus: Opal 650 min,Nucleus: Opal 650 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Opal 780 mean,Nucleus: Opal 780 sum,Nucleus: Opal 780 std dev,Nucleus: Opal 780 max,Nucleus: Opal 780 min,Nucleus: Opal 780 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 480 mean,Cell: Opal 480 std dev,Cell: Opal 480 max,Cell: Opal 480 min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 540 mean,Cell: Opal 540 std dev,Cell: Opal 540 max,Cell: Opal 540 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 650 mean,Cell: Opal 650 std dev,Cell: Opal 650 max,Cell: Opal 650 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Opal 780 mean,Cell: Opal 780 std dev,Cell: Opal 780 max,Cell: Opal 780 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 480 mean,Cytoplasm: Opal 480 std dev,Cytoplasm: Opal 480 max,Cytoplasm: Opal 480 min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 540 mean,Cytoplasm: Opal 540 std dev,Cytoplasm: Opal 540 max,Cytoplasm: Opal 540 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 650 mean,Cytoplasm: Opal 650 std dev,Cytoplasm: Opal 650 max,Cytoplasm: Opal 650 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Opal 780 mean,Cytoplasm: Opal 780 std dev,Cytoplasm: Opal 780 max,Cytoplasm: Opal 780 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,918.34,116.3,16.5,14.6036,0.9722,4.9413,3.9576,0.5547,2.3904,162.5464,0.7226,4.0199,0.5504,3.4695,0,0,0,0,0,0,0.1466,9.9668,0.2694,1.0941,0,1.0941,1.4249,96.8949,1.4582,4.5661,0,4.5661,2.6772,182.0529,0.806,4.2972,1.2155,3.0817,1.8514,125.898,0.4353,3.0897,0.8796,2.2102,25.1746,1711.8741,5.3289,32.352,12.6346,19.7174,0.0275,1.8682,0.0969,0.6951,0,0.6951,1.0644,72.3808,0.2027,1.3727,0.5855,0.7872,18.2064,1238.0336,3.1084,23.3611,9.5284,13.8327,63,28.3394,0.9858,9.3969,8.4121,0.3792,0.676,1.1122,4.0199,0,0.0016,0.0223,0.3498,0,0.2963,0.3949,2.3965,0,0.7004,1.0905,4.5661,0,2.5283,0.8131,4.9681,1.2155,1.6899,0.4349,3.0897,0.7774,23.1092,6.9127,37.1877,11.7573,0.0349,0.0983,0.6951,0,0.9671,0.2434,1.4293,0.5702,16.0245,3.7574,23.3611,8.7842,0.0492,0.1649,1.1347,0,0.0022,0.0261,0.3498,0,0.351,0.4192,2.3965,0,0.4355,0.7698,3.459,0,2.4739,0.811,4.9681,1.2337,1.6308,0.4207,2.666,0.7774,22.354,7.2749,37.1877,11.7573,0.0376,0.099,0.5814,0,0.9315,0.2478,1.4293,0.5702,15.2268,3.6631,22.0453,8.7842,0.2513
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,816.31,118.97,22.25,20.212,0.6844,8.5374,3.627,0.9089,6.9989,643.8976,3.3779,18.5056,2.6683,15.8373,12.6948,1167.9236,2.2808,18.3202,7.0918,11.2283,0.0197,1.8103,0.0792,0.5789,0,0.5789,5.3304,490.3929,1.7873,8.7218,0.4481,8.2737,3.0892,284.2071,0.8994,5.0565,1.3612,3.6954,2.0341,187.1335,0.6022,3.5842,0.6152,2.9689,13.1977,1214.1906,1.5112,17.3666,9.9841,7.3825,0.284,26.1284,0.2818,1.1781,0,1.1781,0.3843,35.3577,0.0804,0.5859,0.253,0.3329,37.2796,3429.7234,6.7101,47.0709,17.2631,29.8078,84,34.5573,0.8839,13.0826,8,0.8009,3.3655,4.012,18.5056,0,9.1103,5.597,28.1743,0,0.1188,0.24,1.3429,0,3.3392,2.3683,8.7218,0,2.4177,0.9006,5.0565,0.2129,1.6039,0.5622,3.5842,0.2708,14.4129,2.5896,23.8044,7.3379,0.2126,0.2607,1.1993,0,0.5328,0.1515,0.9564,0.253,27.4986,9.92,47.0709,8.178,2.0012,3.3261,13.6926,0,7.7643,5.8766,28.1743,0,0.156,0.2681,1.3429,0,2.5915,2.1157,8.5306,0,2.1656,0.7625,4.625,0.2129,1.4424,0.4517,2.6591,0.2708,14.8692,2.7599,23.8044,7.3379,0.1858,0.2477,1.1993,0,0.5885,0.1333,0.9564,0.3045,23.8257,8.3127,44.8607,8.178,0.2625
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,831.08,124.49,66.25,31.088,0.8614,11.8014,7.5199,0.7865,8.7727,2359.8628,2.603,15.9559,3.7563,12.1996,0,0,0,0,0,0,0.7122,191.5788,1.1214,4.5126,0,4.5126,1.0085,271.2932,2.1876,9.7692,0,9.7692,7.0977,1909.2941,2.0148,10.5894,3.2463,7.3431,3.5147,945.4601,0.7507,6.5467,1.7431,4.8037,44.4052,11944.9854,6.0158,53.5079,24.1389,29.3691,1.0638,286.1611,0.8117,3.3031,0,3.3031,0.677,182.1096,0.1557,1.3951,0.3849,1.0102,27.8782,7499.2368,4.4823,40.7203,14.4404,26.2799,151.25,44.9433,0.941,16.4396,11.8916,0.6859,4.2076,4.5337,15.9559,0,0.3848,1.7763,12.0699,0,0.4436,0.8243,4.5126,0,0.9503,2.6691,19.087,0,4.8345,2.5709,10.5894,0.1866,2.7501,1.0026,6.5467,0.0305,38.0052,12.0244,57.7093,11.6118,0.8599,0.8451,5.8079,0,0.7812,0.2043,1.624,0.3849,24.2331,6.807,43.4814,9.5543,0.5528,1.2278,5.3638,0,0.6929,2.3398,12.0699,0,0.2285,0.3386,1.5698,0,0.9036,3.0019,19.087,0,3.0225,1.124,6.8149,0.1866,2.138,0.7184,3.7182,0.0305,32.8814,13.1345,57.7093,11.6118,0.6967,0.837,5.8079,0,0.8647,0.2004,1.624,0.4777,21.3148,6.9468,43.4814,9.5543,0.4384
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1006,123.46,35.25,23.1785,0.8245,8.1229,5.7256,0.7053,12.4541,1780.9294,3.3692,23.3703,6.3798,16.9906,0,0,0,0,0,0,0,0,0,0,0,0,2.3564,336.9583,2.6195,9.8488,0,9.8488,4.5681,653.2364,1.2247,7.2286,2.073,5.1557,3.5583,508.8324,0.548,5.2482,2.4873,2.7609,43.5782,6231.6846,4.4696,50.3748,29.6815,20.6934,0.6073,86.8382,0.4353,1.7043,0,1.7043,0.9328,133.3892,0.1644,1.5361,0.6552,0.8809,25.6125,3662.583,2.667,32.0668,19.9399,12.1269,78.75,33.1726,0.8993,11.5153,9.3602,0.5049,7.3402,5.8325,23.3703,0,0,0,0,0,0.0032,0.0469,0.8148,0,1.3768,2.1759,9.8488,0,3.975,1.365,7.2286,1.1435,3.0769,0.7556,5.2482,0.9644,38.9768,7.9788,52.007,16.5704,0.6812,0.5222,2.4773,0,1.0033,0.1822,1.5361,0.6302,23.2856,4.7156,32.8235,9.9062,3.1615,3.6956,12.4939,0,0,0,0,0,0.0058,0.0632,0.8148,0,0.5763,1.2622,8.2144,0,3.4903,1.2827,6.593,1.1435,2.6835,0.6701,5.0192,0.9644,35.2168,8.2497,52.007,16.5704,0.7416,0.5779,2.4773,0,1.061,0.176,1.5166,0.6302,21.3842,5.1595,32.8235,9.9062,0.4509
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,793.09,124.28,31.25,20.2288,0.9597,7.1711,5.5,0.5968,7.4003,954.6351,2.4203,16.5873,2.4921,14.0952,0,0,0,0,0,0,0.0361,4.651,0.1173,0.7583,0,0.7583,1.964,253.3617,1.6538,6.0561,0,6.0561,3.1301,403.7833,0.8616,4.8765,1.457,3.4194,2.0473,264.0969,0.3222,2.8451,1.3604,1.4847,26.5199,3421.0667,3.6884,32.3865,13.9622,18.4243,0.0607,7.8332,0.1242,0.7315,0,0.7315,0.9229,119.0533,0.1329,1.249,0.5043,0.7447,18.7553,2419.4353,2.3105,23.1728,11.2365,11.9363,90.25,34.211,0.969,11.8068,9.5,0.5447,2.9137,3.7032,16.5873,0,0.3805,2.2756,23.3943,0,0.0995,0.2308,1.6302,0,1.4825,2.5328,20.7016,0,2.5508,1.0048,4.8765,0,1.8294,0.4871,3.006,0.4058,24.8722,7.4857,42.7579,6.7598,0.1018,0.2203,1.851,0,0.8563,0.2268,1.3574,0.3301,17.4305,5.2942,33.9028,5.2612,0.4509,0.9391,4.31,0,0.5894,2.8124,23.3943,0,0.1344,0.2677,1.6302,0,1.2182,2.8736,20.7016,0,2.2328,0.9345,4.2193,0,1.7098,0.5203,3.006,0.4058,23.9677,8.7844,42.7579,6.7598,0.1244,0.2557,1.851,0,0.8198,0.2575,1.3574,0.3301,16.7033,6.2499,33.9028,5.2612,0.3385
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Ki-67: Not-leukocyte: Not-oligodendrocyte: PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Ki-67: Not-leukocyte: Not-oligodendrocyte: PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,850.85,126.19,35,23.9128,0.7692,9.8743,5.0095,0.8735,19.8223,2814.7605,7.6785,33.0959,4.4566,28.6393,0.0001,0.0151,0.0013,0.0151,0,0.0151,0.8154,115.7872,1.1664,3.9808,0,3.9808,3.5528,504.5037,3.3171,10.6393,0,10.6393,5.7166,811.7544,1.5508,10.1313,2.8078,7.3235,25.8149,3665.7212,5.8903,39.4315,7.1725,32.259,26.2343,3725.2739,4.889,40.9612,13.1672,27.7939,5.2353,743.4188,3.375,13.9319,0,13.9319,0.7536,107.0181,0.2129,1.3335,0.258,1.0754,30.8498,4380.6704,3.2135,38.0437,21.0944,16.9493,103.25,38.052,0.8961,14.6407,9.4088,0.775,7.822,10.008,33.0959,0,0.1556,0.7048,5.983,0,0.9117,0.8981,3.9808,0,2.7607,2.6333,10.6393,0,4.1085,1.7764,10.1313,0.8449,13.6072,10.7433,39.4315,0.9961,20.4854,7.2457,40.9612,5.2205,5.9429,5.8372,20.5583,0,0.7192,0.2192,1.3335,0.1493,22.8798,7.4267,38.0437,6.6207,1.5571,2.6672,12.5147,0,0.2367,0.8589,5.983,0,0.962,0.7169,3.3201,0,2.3472,2.0838,8.1258,0,3.2689,1.2228,7.4044,0.8449,7.2341,6.244,31.7639,0.9961,17.4841,6.4199,38.3423,5.2205,6.3123,6.7528,20.5583,0,0.7013,0.2207,1.3114,0.1493,18.719,5.2936,35.3135,6.6207,0.3375
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,998.32,124.97,14.25,14.0305,0.9097,5.5464,3.2538,0.7793,6.0053,354.3134,1.6831,9.9507,2.8116,7.1391,0,0,0,0,0,0,0,0,0,0,0,0,0.0933,5.5055,0.3286,1.9317,0,1.9317,2.2471,132.5773,0.4137,3.0645,1.3335,1.731,1.9254,113.596,0.173,2.4309,1.5326,0.8983,25.3465,1495.4463,1.4637,28.6858,21.2988,7.387,0.2894,17.0751,0.209,0.8278,0,0.8278,0.6381,37.6499,0.0986,0.9205,0.4827,0.4377,15.1068,891.3015,1.1182,19.6047,13.1923,6.4124,52.25,26.9023,0.9072,10.0012,6.5561,0.7403,2.7009,2.78,9.9507,0,0.0014,0.0153,0.1999,0,0.0047,0.0275,0.2579,0,0.4916,0.8653,4.4386,0,2.2575,0.5715,3.738,1.1882,2.0702,0.4047,3.4528,1.0635,25.2103,4.4232,37.3319,14.4232,0.3289,0.3095,1.6466,0,0.7874,0.1717,1.2205,0.4827,16.8167,3.114,26.871,11.46,1.4266,1.9429,6.2364,0,0.002,0.018,0.1999,0,0.0065,0.0322,0.2579,0,0.6452,0.9554,4.4386,0,2.2615,0.623,3.738,1.1882,2.126,0.4523,3.4528,1.0635,25.1578,5.1314,37.3319,14.4232,0.3441,0.3398,1.6466,0,0.8449,0.1589,1.2205,0.5867,17.4761,3.3781,26.871,11.46,0.2559
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1035.2,127.15,16.25,16.6972,0.7324,6.4682,3.5032,0.8638,6.2292,417.3578,1.9745,11.1681,2.6473,8.5208,0,0,0,0,0,0,0.028,1.8751,0.1191,0.6872,0,0.6872,9.1033,609.9203,2.4123,15.5624,4.9383,10.6241,2.6693,178.8413,0.4667,3.7942,1.8332,1.961,4.1738,279.6413,0.7753,5.6008,2.6674,2.9335,33.6491,2254.4924,4.7466,40.6808,23.9158,16.765,0.3734,25.0208,0.3196,1.5335,0,1.5335,0.8647,57.937,0.13,1.1972,0.6545,0.5427,22.1068,1481.1527,1.8852,28.0708,19.5173,8.5535,68,30.5496,0.9156,10.8466,7.9447,0.6794,3.4045,3.7621,13.24,0,0.5731,1.8027,9.6584,0,0.0174,0.0993,0.9305,0,6.5651,3.4971,15.5624,0,2.5964,1.1325,6.8416,0.0092,3.3469,1.1453,5.6008,1.0818,30.5566,9.7144,48.0651,13.3125,0.3959,0.4485,2.5945,0,0.8749,0.205,1.4553,0.522,21.7458,3.2936,30.4541,12.9757,2.4902,3.7514,13.24,0,0.7585,2.0409,9.6584,0,0.0139,0.092,0.9305,0,5.7435,3.4014,13.4845,0,2.5729,1.2758,6.8416,0.0092,3.0793,1.1187,5.4481,1.0818,29.5556,10.6643,48.0651,13.3125,0.4032,0.4833,2.5945,0,0.8782,0.2241,1.4553,0.522,21.629,3.6306,30.4541,12.9757,0.2291
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1011.8,131.22,25.25,19.436,0.84,7.7285,4.7395,0.7963,8.5721,882.9249,2.8893,17.8041,2.9045,14.8996,0,0,0,0,0,0,0,0,0,0,0,0,4.2136,434.0017,1.7258,9.3939,1.0581,8.3357,3.2209,331.7572,0.5171,4.8533,2.2305,2.6228,3.0817,317.4187,0.3802,4.029,2.4081,1.621,33.1003,3409.3279,4.8309,49.1965,23.9621,25.2344,0.8968,92.3737,0.4761,2.1838,0.0769,2.1069,0.9699,99.9048,0.1367,1.3935,0.7261,0.6673,26.3601,2715.0945,3.5893,37.4078,19.7651,17.6427,65.25,29.9739,0.9127,11.4342,7.5,0.7488,4.2875,4.3072,17.8041,0,0.0951,0.502,4.7407,0,0.0105,0.0826,1.1315,0,2.8435,2.2053,9.3939,0,3.1137,0.8538,5.1407,1.3085,2.7632,0.6528,4.1418,1.064,31.1903,8.1329,49.1965,12.5409,0.8724,0.4375,2.2847,0.0437,1.0711,0.2144,1.5791,0.549,24.3659,6.2958,38.9342,9.0825,1.58,2.4583,8.7511,0,0.1552,0.6347,4.7407,0,0.0171,0.1051,1.1315,0,1.9777,2.0328,6.8285,0,3.0459,1.006,5.1407,1.3085,2.5619,0.7077,4.1418,1.064,29.9835,9.472,48.1929,12.5409,0.8569,0.412,2.2847,0.0437,1.135,0.2299,1.5791,0.549,23.1058,7.2526,38.9342,9.0825,0.3703
"Gbg LGG TMA 5 Panel 2_Core[1,4,D]_[11318,37400]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,821.79,132.79,42,24.8038,0.8579,8.2802,6.7607,0.5913,6.783,1180.2405,1.7876,10.8662,2.4443,8.4219,0,0,0,0,0,0,0.0403,7.0098,0.1251,0.9094,0,0.9094,0.2401,41.7818,0.8975,5.0374,0,5.0374,2.6356,458.5989,0.6542,4.2651,1.227,3.0381,1.7198,299.242,0.3606,3.1887,0.9316,2.2571,28.4261,4946.1436,3.9454,35.1155,17.3278,17.7877,0.1295,22.5256,0.1966,1.0866,0,1.0866,0.5551,96.5848,0.1196,0.8504,0.3734,0.477,17.8564,3107.0198,3.8696,29.709,11.6875,18.0215,110,38.1655,0.949,12.7932,11.2791,0.4399,3.0124,3.3311,10.8662,0,0.0662,0.272,1.9979,0,0.083,0.1543,0.9094,0,0.2105,0.6768,5.0374,0,2.0368,0.8357,4.2651,0.2769,1.4494,0.5078,3.1887,0.1905,21.8932,7.797,35.1155,3.1988,0.2029,0.2984,1.8098,0,0.5826,0.1558,1.14,0.1713,15.0854,5.2305,30.8242,3.4867,0.5551,0.9566,3.8951,0,0.1094,0.343,1.9979,0,0.1109,0.1651,0.8077,0,0.1912,0.4825,3.1737,0,1.6466,0.6998,3.7493,0.2769,1.2732,0.5128,2.7336,0.1905,17.6357,6.6576,33.4623,3.1988,0.2507,0.3411,1.8098,0,0.6005,0.1733,1.14,0.1713,13.2795,5.2172,30.8242,3.4867,0.383
